Time,Size,Location,County,State,Lat,Lon,Comments
2240,200,4 NE NORMAN,CLEVELAND,OK,35.26,-97.39,(OUN)
2240,100,LONGFORD,CLAY,KS,39.17,-97.33,40 TO 50 MPH WINDS ALSO REPORTED. (TOP)
2241,175,2 NW PRATT,PRATT,KS,37.67,-98.76,(DDC)
2242,150,2 W NORMAN,CLEVELAND,OK,35.22,-97.48,(OUN)
2243,125,2 NW PRATT,PRATT,KS,37.67,-98.76,SEVERAL WINDOWS BROKEN AT HIS HOUSE. (DDC)
2245,100,2 SE WILL ROGERS AIRPOR,CLEVELAND,OK,35.37,-97.57,(OUN)
2245,125,3 N PRATT,PRATT,KS,37.69,-98.74,ALSO 70 MPH WINDS REPORTED. (DDC)
2246,100,2 W FULLERTON,NANCE,NE,41.36,-98.01,(GID)
2246,100,ERICSON,WHEELER,NE,41.78,-98.68,(LBF)
2247,250,NW NORMAN,CLEVELAND,OK,35.22,-97.44,36TH AVE NW AND TECUMSEH RD (OUN)
2250,100,4 E LONGFORD,CLAY,KS,39.17,-97.26,(TOP)
2254,100,2 N PRATT,PRATT,KS,37.68,-98.74,(DDC)
2255,100,12 N ELLIS,ELLIS,KS,39.11,-99.52,(DDC)
2300,139,NEWCASTLE,MCCLAIN,OK,35.25,-97.6,(OUN)
2300,275,1 SE KEOKUK,LEE,IA,40.4,-91.39,DELAYED REPORT. BASEBALL SIZE HAIL KNOCKED OUT SKY LIGHTS AT WALMART STORE IN NORTHAST KEOKUK. GOLFBALL TO BASEBALL SIZE HAIL IN NORTH END OF TOWN. NICKEL TO QUARTER SI (DVN)
2302,100,MOORE,CLEVELAND,OK,35.34,-97.49,(OUN)
2303,100,OSAGE CITY,OSAGE,KS,38.63,-95.83,(TOP)
2304,100,WALCOTT,SCOTT,IA,41.59,-90.78,RELAYED BY SCOTT COUNTY SHERIFFS OFFICE (DVN)
2312,150,2 SSE VALLEY BROOK,CLEVELAND,OK,35.38,-97.47,(OUN)
2312,100,10 N PRATT,PRATT,KS,37.79,-98.74,(DDC)
2315,100,ELEVA,TREMPEALEAU,WI,44.58,-91.47,ALSO 50 MPH WIND GUSTS. (ARX)
2317,100,5 SSE SCRANTON,OSAGE,KS,38.72,-95.72,WIND GUSTS AROUND 35 TO 40 MPH (TOP)
2321,100,TINKER AIR FORCE BASE,OKLAHOMA,OK,35.42,-97.39,(OUN)
2325,100,4 NE SYLVIA,RENO,KS,38,-98.36,(ICT)
2325,100,1 SW OVERBROOK,OSAGE,KS,38.77,-95.58,(TOP)
2328,100,MIDWEST CITY,OKLAHOMA,OK,35.46,-97.37,29TH AND DOUGLAS (OUN)
2328,175,1 W WEST LAKE PARK,SCOTT,IA,41.52,-90.7,GOLFBALL HAIL ABOUT 0.5 MILES WEST OF WEST LAKE PARK. RELAYED BY NWS EMPLOYEE. (DVN)
2328,150,DAVENPORT,SCOTT,IA,41.56,-90.6,HAIL AT 112TH AVE AND US 61 IN DAVENPORT...REPORT VIA FACEBOOK. (DVN)
2329,100,2 SSE DAVENPORT,SCOTT,IA,41.53,-90.59,PEA TO QUARTER SIZE HAIL ALONG WITH TORRENTIAL RAINFALL AND WIND GUSTS OVER 45 MPH. (DVN)
2330,125,CHOCTAW,OKLAHOMA,OK,35.48,-97.27,(OUN)
2330,100,2 SW DAVENPORT,SCOTT,IA,41.54,-90.63,(DVN)
2333,100,SOUTH HUTCHINSON,RENO,KS,38.03,-97.94,EMERGENCY MANAGER REPORTS QUARTER SIZED HAIL AT BLANCHARD AND VALLEY PRIDE ON THE WEST SIDE OF SOUTH HUTCH. (ICT)
2334,100,1 W DAVENPORT,SCOTT,IA,41.56,-90.62,PEA TO QUARTER SIZED HAIL WEST SIDE OF DAVENPORT NEAR KIMBERLY AND FAIRMONT. (DVN)
2335,100,2 WSW HUTCHINSON,RENO,KS,38.05,-97.95,(ICT)
2340,100,DRUMRIGHT,CREEK,OK,35.99,-96.6,(TSA)
2340,100,ADEL,DALLAS,IA,41.61,-94.03,QUARTER SIZED HAIL,ZERO VISIBILITY AND STRONG WIND TAKING DOWN NUMEROUS TREE LIMBS. (DMX)
2340,100,4 N FORT DODGE,WEBSTER,IA,42.57,-94.18,(DMX)
2343,125,ADEL,DALLAS,IA,41.61,-94.03,(DMX)
2346,100,5 SSW BETTENDORF,ROCK ISLAND,IL,41.5,-90.51,MOSTLY PEA SIZE HAIL. (DVN)
2348,175,NEW VIRGINIA,WARREN,IA,41.18,-93.73,TIME ESTIMATED FROM RADAR. (DMX)
2355,175,4 WNW GRIMES,DALLAS,IA,41.69,-93.85,DELAYED REPORT (DMX)
0001,175,5 SSW KIRKWOOD,WARREN,IL,40.79,-90.78,QUARTER TO GOLF BALL. (DVN)
0004,100,5 ESE PLEASANT HILL,POLK,IA,41.57,-93.43,(DMX)
0016,100,ANKENY,POLK,IA,41.72,-93.61,(DMX)
0021,100,LEWISTON,WINONA,MN,43.98,-91.87,(ARX)
0024,100,6 N PRAGUE,LINCOLN,OK,35.58,-96.69,(OUN)
0038,150,3 N WINSTON,DAVIESS,MO,39.91,-94.14,(EAX)
0048,100,3 NNW MINGO,JASPER,IA,41.81,-93.31,(DMX)
0100,175,CHILLICOTHE,LIVINGSTON,MO,39.79,-93.55,(EAX)
0108,100,7 E NORWAY,REPUBLIC,KS,39.7,-97.64,NEAR THE TOWN OF TALMO. (TOP)
0111,100,BOSWORTH,CARROLL,MO,39.47,-93.34,(EAX)
0116,100,EDINBURG,GRUNDY,MO,40.08,-93.7,ALSO WITH 45 MPH WINDS (EAX)
0120,100,5 NE OKFUSKEE,OKMULGEE,OK,35.65,-96.17,REPORTED NEAR NUYAKA. HIGH WINDS WERE ALSO REPORTED. (TSA)
0120,175,LOCKRIDGE,JEFFERSON,IA,40.99,-91.75,TIME ESTIMATED FROM RADAR. RELAYED BY SHERIFFS OFFICE. (DVN)
0123,275,10 WSW CEDAR VALE,COWLEY,KS,37.03,-96.65,BASEBALL SIZED HAIL WAS REPORTED ALL OVER THE ROAD JUST ACROSS THE BORDER. (ICT)
0124,250,10 SW CEDAR VALE,COWLEY,KS,37,-96.63,(ICT)
0127,300,9 WSW CEDAR VALE,COWLEY,KS,37.03,-96.64,STORM CHASER REPORTS 3 INCH HAIL BUT IT WAS MOSTLY PENNY AND NICKEL SIZED. (ICT)
0130,100,BEGGS,OKFUSKEE,OK,35.35,-96.39,(TSA)
0130,100,5 N LOCKRIDGE,JEFFERSON,IA,41.06,-91.75,PEA TO QUARTER SIZE...TIME ESTIMATED FROM RADAR. (DVN)
0133,100,10 NE NEWTON,JASPER,IA,41.8,-92.91,(DMX)
0137,175,CEDAR VALE,CHAUTAUQUA,KS,37.11,-96.5,TRAINED SPOTTER ESTIMATES GOLF BALL SIZED HAIL AND 55 MPH WINDS. (ICT)
0137,175,3 ENE CEDAR VALE,CHAUTAUQUA,KS,37.12,-96.45,(ICT)
0138,100,4 S CEDAR VALE,CHAUTAUQUA,KS,37.04,-96.5,TRAINED SPOTTER ESTIMATED NICKEL TO QUARTER SIZED HAIL. (ICT)
0140,125,6 W IOLA,ALLEN,KS,37.93,-95.51,(ICT)
0147,175,PECATONICA,WINNEBAGO,IL,42.31,-89.36,GOLFBALL SIZE HAIL NEAR TRASK BRIDGE AND EDDY ROADS. (LOT)
0152,100,PLAINFIELD,BREMER,IA,42.84,-92.54,(DMX)
0154,175,6 WSW WASHINGTON,WASHINGTON,IA,41.26,-91.79,TIME ESTIMATED FROM RADAR. (DVN)
0158,100,ROCKFORD,WINNEBAGO,IL,42.27,-89.06,QUARTER SIZE HAIL NEAR GILFORD AND ALPINE. (LOT)
0159,125,ROCKFORD,WINNEBAGO,IL,42.27,-89.06,QUARTER TO HALF DOLLAR SIZE HAIL 2 MILES WEST OF DOWNTOWN. TIME ESTIMATED. (LOT)
0210,100,SHIDLER,OSAGE,OK,36.78,-96.66,(TSA)
0320,100,5 NW COPAN,WASHINGTON,OK,36.95,-95.99,(TSA)
0326,100,CANEY,MONTGOMERY,KS,37.01,-95.93,TRAINED SPOTTER ESTIMATES QUARTER TO POSSIBLY A LITTLE BIT LARGER SIZED HAIL. (ICT)
0345,175,COFFEYVILLE,MONTGOMERY,KS,37.04,-95.63,(ICT)
0401,125,3 N EDNA,LABETTE,KS,37.1,-95.36,TRAINED SPOTTER REPORTS QUARTER TO GOLF BALL SIZED HAIL WITH HEAVY RAIN AND GUSTY WINDS. INITIAL WIND ESTIMATE WAS 50 MPH. (ICT)
0450,175,3 E POTOSI,GRANT,WI,42.69,-90.65,(ARX)
0508,175,CHAUTAUQUA,CHAUTAUQUA,KS,37.02,-96.18,QUARTER TO GOLF BALL HAIL REPORTED (ICT)
